name,ilosc_patentow
SKOWRONSKI ZBIGNIEW,15
HECZKO PIOTR,24
DWORAKOWSKI WALDEMAR,25
MLECZKO LESLAW,549
GIELNIEWSKI ADAM,57
SLEDESKI ADAM,73
DOMANSKI KRZYSZTOF,51
MYSLOWSKI WLODZIMIERZ,22
MONKIEWICZ JAROSLAW,352
BAUER PETER,1039
KANBARA YASUO,131
CZARNOTA ANNA,82
GENIUSZ ANDRZEJ,40
MUELLER LUTZ,315
STRZYZ EUGENIUSZ,16
SIMON JULIEN,25
CIEPLINSKI LESZEK,80
ERDMANN BOZENA,343
KADOWAKI TAKUYA,81
ORMAN MACIEJ,71
KLUCZYNSKI PAWEL,36
GLISZCZYNSKI RAFAL,56
WINIARSKI JERZY,19
KRYGLER AGENOR,21
POROWSKI SYLWESTER,38
FABRITIUS CHARLES-HENRY,22
TYSZER JERZY,195
KOZLOWSKI ANTONI,416
ROTH WIESLAW,152
OLEDZKI WIESLAW,20
KAPKOWSKI GRZEGORZ,14
VIEIRA EURIDICE,22
SZYMANSKI PAWEL,22
TINEL HANNA,162
OLSZEWSKI WOJCIECH,43
PIEKARZ ROMAN,79
PLUMLEY JULIAN,67
OSTROWSKI PIOTR,14
BOCHNIA MAREK,17
BORTNIK MICHAL,102
WARCHOL TADEUSZ,89
VOGEL HERMAN,119
KASZA KRZYSZTOF,18
CHOMIAK JERZY,14
SIEK TADEUSZ,14
DWILINSKI ROBERT,120
SLUSARCZYK PAWEL,42
MRUGALSKI GRZEGORZ,89
NOWAK WOJCIECH,42
KOWALSKI MICHAL,32
STEPIEN JACEK,33
PAWLOWSKA MALGORZATA,21
MARCZAK STANISLAW,21
TOMALA JANUSZ,55
STEFANSKI ADAM,54
KORONIAK LUKASZ,20
SOCHA MAREK,16
JEMIELITY JACEK,26
WULF JOACHIM,45
CYBULSKI MARCIN,19
PIENIAZEK JERZY,19
PASZKOWSKI MARIUSZ,17
BUCZYLKO PIOTR,15
PILAWSKI ANDRZEJ,25
URBAN PIOTR,26
KOBZDA PIOTR,21
RABCZAK IRENEUSZ,20
DUBENSKY WILLIAM,15
GARLIKOWSKI KONRAD,19
SAWICKI ANDRZEJ,34
MONDZIK ANDRZEJ,17
WITCZAK TADEUSZ,84
LADA ZYGMUNT,18
TOMKOW STANISLAW,27
DASTYCH JAROSLAW,24
ZAKRZEWSKI ZENON,30
STOPA TOMASZ,33
GALAS JACEK,17
KOZIAK KATARZYNA,18
KRUPA MALGORZATA,14
WILNIEWCZYC MARIUSZ,19
BARCISZEWSKI JAN,26
JURZAK PAWEL,47
ODOLCZYK NORBERT,19
ZANDER JUSTYNA,15
ABRAM EUGENIUSZ,25
RITTER ROBERT,53
TOKARZ ZBIGNIEW,23
NOWAKOWSKI MACIEJ,19
ZDZALIK DARIA,16
CHAKRAVARTY JYOTIRMOY,15
DARLAK PAWEL,16
FILIPOWICZ WITOLD,33
WILUSZ TADEUSZ,18
ROBAK BARBARA,15
MAZUREK JAROSLAW,25
PISOWACKI PATRYK,14
SZYMANSKI MICHAL,32
MOORTHI SUNIL,15
DUDA DAWID,21
CICHON ROMUALD,21
SZAREK MILOSZ,17
DU FEI,362
MAJOCH WACLAW,21
MACKRLE SVATOPLUK,17
BOGDANSKI BARTOSZ,74
SIEREDZINSKI MAREK,71
ORIOL MARIUSZ,21
KLESZCZEWSKI JACEK,21
RADWANSKI RYSZARD,102
LEONARSKI JAROSLAW,19
WOJNOWSKI MACIEJ,60
ZIEGLER HELMUT,30
MUELLER PHILIP,156
KRUKIEWICZ-GACEK GRZEGORZ,18
GRAF MICHAEL,294
SADOWSKI JANUSZ,38
SKOLICKI ZBIGNIEW,37
JEUTE PIOTR,37
WISZNIEWSKI ANDRZEJ,45
PUSZKIEWICZ IGNACY,86
BURY HENRYK,98
PAWLAK BARTLOMIEJ,50
MIKSA KRZYSZTOF,63
NIEWOLAK LESZEK,21
ROSA ROBERT,20
MAZELA JAN,24
RACHWAL STANISLAW,80
GRYNKIEWICZ GRZEGORZ,49
DEMCZUK PAWEL,22
WEST JOHN,233
SZOT SLAWOMIR,17
BRZOSKOWSKI RYSZARD,53
JAKUBOWSKI ANDRZEJ,15
DABROWSKI BOGDAN,14
RZYMSKI TOMASZ,23
DABROWSKI ROMAN,24
WOZNIAK ROBERT,14
DLUGOSZ PIOTR,16
KONIECZNY PAWEL,16
MUCHA LUKASZ,20
BOJARSKI ANDRZEJ,16
RYBCZYNSKI JAKUB,22
RESZKE EDWARD,25
GIENGIEL WOJCIECH,52
KOWALCZYK PIOTR,21
WOJCIECHOWSKI RAFAL,17
CHOLINSKI ANDRZEJ,53
KLEJSA JANUSZ,77
MARCINKOWSKA MONIKA,28
BENNI PAUL,43
GROBELNY DAMIAN,41
STOLARZEWICZ BOGDAN,23
KALETA DAMIAN,18
OLDENBURG STEVEN,53
PIEPRZYK MARTIN,40
RUMINSKI WITALIS,18
BZDUCHA WOJCIECH,84
WYCISK RYSZARD,15
SHARMA AMIT,201
NILSSON S,41
NOWAK EDMUND,21
STRUPCZEWSKI ADAM,15
MARKIEWICZ WOJCIECH,25
KACZYNSKI BRIAN,48
GEBICKI JERZY,72
KOBEK PIOTR,28
CHYLA DARIUSZ,14
MYSLINSKI PIOTR,26
PYKA STEFAN,31
NAWROCKI ADAM,32
KULAKOWSKI HENRYK,37
HONCZARENKO MAREK,22
PAWLOWSKI TADEUSZ,19
SIKORSKA AGNIESZKA,17
PILCH JAN,20
CZERNECKI ANDRZEJ,35
WIERZCHOWIEC PIOTR,51
GOLAB WOJCIECH,38
SZKLARZ ZBIGNIEW,19
CYBULSKI CEZARY,16
HANZLIK TOMASZ,24
CHLOPICKI STEFAN,57
KOLACZKOWSKI MARCIN,27
TONESI DARIO,27
PIELAK GRZEGORZ,28
BRYSZEWSKA MARIA,14
IZYDORZAK MARCIN,20
LESIK ANDREAS,28
GONCIARZ MALGORZATA,30
STEFANSKA BARBARA,27
LAZARSKI WOJCIECH,24
MICHALSKI LUKASZ,15
KROL JACEK,14
STRADOMSKI TOMASZ,35
LIGENZA SLAWOMIR,15
WITANIS STEFAN,25
JAMIOLKOWSKI ROBERT,37
TARNOGRODZKI ANTONI,16
WIETRZYK JOANNA,25
HAWRANEK JERZY,16
WIKLIK KATARZYNA,25
KASINSKI BOGUSLAW,28
KOWALSKI PIOTR,15
WARCHOL MAREK,19
MURAWSKI MICHAL,29
WITALINSKI MACIEJ,18
PENCZEK ADAM,17
EPSTEIN MIKAEL,22
NOWAK MICHAL,20
KUDLA STANISLAW,15
